county,population,fall_2020_cases,fall_2021_cases,spring_2020_cases,spring_2021_cases,summer_2020_cases,summer_2021_cases,winter_2020_cases,winter_2021_cases,fall_2020_doses_administered,fall_2021_doses_administered,spring_2021_doses_administered,summer_2020_doses_administered,summer_2021_doses_administered,winter_2020_doses_administered,winter_2021_doses_administered,fall_2020_pfizer_doses,fall_2021_pfizer_doses,spring_2021_pfizer_doses,summer_2020_pfizer_doses,summer_2021_pfizer_doses,winter_2020_pfizer_doses,winter_2021_pfizer_doses,fall_2020_moderna_doses,fall_2021_moderna_doses,spring_2021_moderna_doses,summer_2020_moderna_doses,summer_2021_moderna_doses,winter_2020_moderna_doses,winter_2021_moderna_doses,fall_2020_jj_doses,fall_2021_jj_doses,spring_2021_jj_doses,summer_2020_jj_doses,summer_2021_jj_doses,winter_2020_jj_doses,winter_2021_jj_doses,fall_2020_partially_vaccinated,fall_2021_partially_vaccinated,spring_2021_partially_vaccinated,summer_2020_partially_vaccinated,summer_2021_partially_vaccinated,winter_2020_partially_vaccinated,winter_2021_partially_vaccinated,fall_2020_at_least_one_dose,fall_2021_at_least_one_dose,spring_2021_at_least_one_dose,summer_2020_at_least_one_dose,summer_2021_at_least_one_dose,winter_2020_at_least_one_dose,winter_2021_at_least_one_dose,fall_2020_fully_vaccinated,fall_2021_fully_vaccinated,spring_2021_fully_vaccinated,summer_2020_fully_vaccinated,summer_2021_fully_vaccinated,winter_2020_fully_vaccinated,winter_2021_fully_vaccinated,fall_2020_partially_vaccinated_percent,fall_2021_partially_vaccinated_percent,spring_2021_partially_vaccinated_percent,summer_2020_partially_vaccinated_percent,summer_2021_partially_vaccinated_percent,winter_2020_partially_vaccinated_percent,winter_2021_partially_vaccinated_percent,fall_2020_at_least_one_dose_percent,fall_2021_at_least_one_dose_percent,spring_2021_at_least_one_dose_percent,summer_2020_at_least_one_dose_percent,summer_2021_at_least_one_dose_percent,winter_2020_at_least_one_dose_percent,winter_2021_at_least_one_dose_percent,fall_2020_fully_vaccinated_percent,fall_2021_fully_vaccinated_percent,spring_2021_fully_vaccinated_percent,summer_2020_fully_vaccinated_percent,summer_2021_fully_vaccinated_percent,winter_2020_fully_vaccinated_percent,winter_2021_fully_vaccinated_percent,spring_2020_Unemployment_Rate,spring_2021_Unemployment_Rate,summer_2020_Unemployment_Rate,summer_2021_Unemployment_Rate,fall_2020_Unemployment_Rate,fall_2021_Unemployment_Rate,winter_2020_Unemployment_Rate,winter_2021_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent
Glenn,29348,475,164,157,100,442,778,597,651,0,3201,9632,4,5031,378,11438,0,1940,4335,2,3868,327,3437,0,1149,4766,2,872,51,7400,0,101,524,0,290,0,593,0,716,3615,2,2431,376,6648,0,785,4134,2,2719,376,7242,0,815,5970,2,2426,1,4756,0,0.047030147,0.104240599,7.17E-05,0.053876761,0.013442306,0.104312292,7.17E-05,0.546940531,0.421335627,7.17E-05,0.518801305,0.013549844,0.27314765,7.17E-05,0.500770692,0.384593325,7.17E-05,0.471556081,0.000107538,0.17059182,0.116945107,0.0681458,0.101556102,0.069124424,0.068037975,0.056721057,0.076042518,0.078369305,0.353633708,0.003009649,0.625210233,0.011330442,0.006815969
Humboldt,134098,519,445,99,1086,357,3520,890,1520,0,18714,65270,1,23101,2311,69310,0,10253,35027,1,15476,1765,30604,0,8014,26297,0,5976,536,36111,0,441,3916,0,1622,0,2514,0,3169,26098,1,9441,2300,40082,0,3378,29969,1,11041,2303,42616,0,2660,38771,0,10283,5,28992,7.37E-06,0.063321254,0.162387308,7.37E-06,0.066068588,0.016933298,0.11728095,7.37E-06,0.657798598,0.551595369,7.37E-06,0.632917919,0.016970126,0.330858523,0,0.594477344,0.499145601,0,0.574885098,3.68E-05,0.213577574,0.128865979,0.0625,0.10652921,0.063758389,0.072147651,0.05107084,0.04091653,0.071740505,0.650291242,0.009078628,0.316226777,0.016443211,0.007960141
Imperial,191649,5037,1201,7457,1126,3798,2870,6669,3822,2,25172,125959,2,51444,1722,83555,1,15700,61040,0,37847,893,38008,1,8018,58317,2,11541,829,37909,0,1453,6596,0,2054,0,7632,2,7518,58266,2,23948,1716,50541,2,8474,64852,2,25987,1717,58290,0,5520,66915,0,25747,4,32755,2.22E-05,0.15749434,0.184523017,1.11E-05,0.148166644,0.009527456,0.151218538,2.22E-05,0.884072446,0.692851911,1.11E-05,0.837051094,0.009549652,0.332994851,0,0.726578106,0.553080748,0,0.695948195,2.22E-05,0.181776313,0.275,0.160660661,0.265077139,0.195301028,0.199701937,0.180351906,0.180555556,0.162761754,0.611141462,0.004123857,0.367393335,0.006873094,0.010468252
Inyo,18453,145,424,15,39,162,341,387,643,0,3158,6635,0,2214,681,10027,0,1345,2099,0,1380,597,3624,0,1760,4045,0,795,77,6216,0,51,446,0,35,0,101,0,595,2413,0,1027,672,5563,0,620,2859,0,1061,672,5666,0,380,4158,0,869,1,4365,0,0.061266243,0.113077136,0,0.052695604,0.037102571,0.140945535,0,0.60149295,0.508542991,0,0.567210395,0.037157866,0.350456179,0,0.540392591,0.471329831,0,0.519380702,5.53E-05,0.241415538,0.124533001,0.060270603,0.093413174,0.059665871,0.068757539,0.04969697,0.040603248,0.067435532,0.4886124,0.004744833,0.487136229,0.013496415,0.006010122
Kern,927251,11547,5631,8215,2478,22756,20502,26258,24817,2,96341,315659,3,170103,5784,314145,1,57126,174433,3,116642,4543,141079,1,35560,125264,0,47716,1240,159532,0,3645,15880,0,5721,0,13461,2,24558,126139,2,83826,5780,193068,2,26976,141905,2,89471,5780,206490,0,29769,187961,1,78340,4,120022,3.40E-06,0.06449443,0.108346838,2.26E-06,0.073243622,0.006544341,0.104463718,4.53E-06,0.532953288,0.401084646,2.26E-06,0.502404725,0.006550003,0.240386477,1.13E-06,0.471202748,0.348776348,1.13E-06,0.437491294,5.66E-06,0.135922759,0.168712458,0.106348781,0.151962075,0.107492719,0.10599434,0.087250065,0.091352322,0.108684211,0.436847346,0.003517943,0.538775992,0.012912228,0.007946491
Kings,156444,4022,1669,2492,495,5224,6207,4969,5580,1,13703,40419,0,24836,948,47458,0,7448,22135,0,17106,770,16436,1,5711,15665,0,6941,178,29038,0,543,2613,0,787,0,1969,1,3500,14576,0,12603,1029,30017,1,3848,17178,0,13382,1029,31990,0,4324,25641,0,11298,2,17347,6.66E-06,0.061489255,0.103494919,0,0.068672331,0.006849908,0.112996835,6.66E-06,0.449295352,0.33448609,0,0.423654839,0.006863235,0.220023322,0,0.390551391,0.286456772,0,0.36173913,1.33E-05,0.115602199,0.149305556,0.100364964,0.124113475,0.095575221,0.097297297,0.079928952,0.098106713,0.107823762,0.426324069,0.002849912,0.548824696,0.013770776,0.008230546
Lake,64871,510,310,86,280,502,2344,946,1285,2,6477,20283,0,12406,670,30490,2,2668,5189,0,6455,632,9172,0,3634,13710,0,5321,38,20351,0,175,1383,0,630,0,967,1,1174,7908,0,5985,670,17455,1,1295,9284,0,6606,671,18422,1,1493,12311,0,5598,1,12966,1.56E-05,0.063478207,0.102871485,0,0.068669327,0.010444597,0.106924612,1.56E-05,0.565551537,0.442383239,0,0.545363846,0.010475775,0.297655422,1.56E-05,0.504614329,0.394073081,0,0.481340026,3.12E-05,0.202157511,0.142035239,0.07558342,0.109791217,0.07398568,0.082896118,0.062200957,0.062543676,0.086084719,0.518568652,0.007184506,0.455469943,0.012980702,0.005796196
Lassen,30065,1686,265,244,151,502,1109,2144,554,0,2352,4400,0,2506,171,7080,0,813,424,0,864,156,915,0,1290,3392,0,1372,15,5744,0,249,579,0,270,0,412,0,599,1119,0,1231,167,4317,0,789,1696,0,1497,171,4728,0,805,3260,0,1150,4,2717,0,0.033990701,0.068751002,0,0.030816097,0.005355139,0.071508738,0,0.284784351,0.211479878,0,0.259483726,0.005483405,0.157094757,0,0.254481321,0.191790925,0,0.228667629,0.000128267,0.087253487,0.095698925,0.05907173,0.079569892,0.056818182,0.054780876,0.04587156,0.059574468,0.0695845,0.233502962,0.002586135,0.74831067,0.011762743,0.003837491
Los Angeles,10257557,157710,22717,87656,24766,152710,171012,407645,344891,327,1452290,5840050,505,1897839,141941,4990986,178,904867,3259068,433,1383746,112998,2535501,66,503421,2275017,69,447813,28804,2331084,83,43705,304236,3,65534,86,123093,108,321556,2395496,317,826186,141354,3056155,195,346505,2697911,323,890537,141561,3179711,218,284759,3418193,186,868421,382,1918927,1.34E-05,0.075822248,0.152284223,1.93E-05,0.077416119,0.013992105,0.138846284,5.13E-05,0.718628009,0.596124975,3.20E-05,0.684313965,0.014069941,0.328953545,4.00E-05,0.642805761,0.528607498,1.84E-05,0.614606362,7.78E-05,0.19010726,0.182148635,0.110245926,0.178748553,0.102197651,0.119581042,0.082033966,0.048650827,0.11796133,0.710278084,0.005079303,0.268628506,0.008313547,0.00770056
Madera,160089,2310,1271,893,652,3671,4070,4565,4516,3,16630,54987,1,26578,1154,63015,1,9924,29423,1,19347,652,29408,1,6265,22736,0,6242,502,31561,1,439,2799,0,977,0,2023,1,3826,20764,0,13015,1138,38653,2,4126,23550,0,13981,1139,40687,1,4001,33958,0,12189,5,23929,6.45E-06,0.060652977,0.112919562,0,0.068400715,0.007321967,0.119125493,1.29E-05,0.538567733,0.421758175,0,0.511950611,0.007360673,0.269835433,6.45E-06,0.477914756,0.373471902,0,0.452104017,3.87E-05,0.154406405,0.148867314,0.093333333,0.123558484,0.090909091,0.08852459,0.071884984,0.082148499,0.096905299,0.431176952,0.004038562,0.54675054,0.011557359,0.006476588
