,county,population,fall_2020_cases,fall_2021_cases,spring_2020_cases,spring_2021_cases,summer_2020_cases,summer_2021_cases,winter_2020_cases,winter_2021_cases,fall_2020_doses_administered,fall_2021_doses_administered,spring_2021_doses_administered,summer_2020_doses_administered,summer_2021_doses_administered,winter_2020_doses_administered,winter_2021_doses_administered,fall_2020_pfizer_doses,fall_2021_pfizer_doses,spring_2021_pfizer_doses,summer_2020_pfizer_doses,summer_2021_pfizer_doses,winter_2020_pfizer_doses,winter_2021_pfizer_doses,fall_2020_moderna_doses,fall_2021_moderna_doses,spring_2021_moderna_doses,summer_2020_moderna_doses,summer_2021_moderna_doses,winter_2020_moderna_doses,winter_2021_moderna_doses,fall_2020_jj_doses,fall_2021_jj_doses,spring_2021_jj_doses,summer_2020_jj_doses,summer_2021_jj_doses,winter_2020_jj_doses,winter_2021_jj_doses,fall_2020_partially_vaccinated,fall_2021_partially_vaccinated,spring_2021_partially_vaccinated,summer_2020_partially_vaccinated,summer_2021_partially_vaccinated,winter_2020_partially_vaccinated,winter_2021_partially_vaccinated,fall_2020_at_least_one_dose,fall_2021_at_least_one_dose,spring_2021_at_least_one_dose,summer_2020_at_least_one_dose,summer_2021_at_least_one_dose,winter_2020_at_least_one_dose,winter_2021_at_least_one_dose,fall_2020_fully_vaccinated,fall_2021_fully_vaccinated,spring_2021_fully_vaccinated,summer_2020_fully_vaccinated,summer_2021_fully_vaccinated,winter_2020_fully_vaccinated,winter_2021_fully_vaccinated,fall_2020_partially_vaccinated_percent,fall_2021_partially_vaccinated_percent,spring_2021_partially_vaccinated_percent,summer_2020_partially_vaccinated_percent,summer_2021_partially_vaccinated_percent,winter_2020_partially_vaccinated_percent,winter_2021_partially_vaccinated_percent,fall_2020_at_least_one_dose_percent,fall_2021_at_least_one_dose_percent,spring_2021_at_least_one_dose_percent,summer_2020_at_least_one_dose_percent,summer_2021_at_least_one_dose_percent,winter_2020_at_least_one_dose_percent,winter_2021_at_least_one_dose_percent,fall_2020_fully_vaccinated_percent,fall_2021_fully_vaccinated_percent,spring_2021_fully_vaccinated_percent,summer_2020_fully_vaccinated_percent,summer_2021_fully_vaccinated_percent,winter_2020_fully_vaccinated_percent,winter_2021_fully_vaccinated_percent
47,Solano,444255.0,4935.0,926.0,1558.0,2637.0,4563.0,9590.0,9514.0,9900.0,2,60253,220881,5,79880,8176,229908,1,38641,127015,5,59549,5415,112831,1,20443,84663,0,17701,2760,114111,0,1168,9194,0,2620,1,2940,1,10900,92498,3,34998,8154,141304,1,11666,101646,3,37589,8162,144256,1,11494,127660,2,36183,16,88151,2.2803457004081816e-06,0.0907942444074521,0.1502474175084943,4.560691400816363e-06,0.1006727019816204,0.0185779764212254,0.1535174332428796,9.121382801632726e-06,0.6916812988849109,0.5793628714113059,6.841037101224546e-06,0.6650787859439491,0.0186213029895332,0.3475748523476159,6.841037101224546e-06,0.6008870544774588,0.4921670125190979,4.560691400816363e-06,0.5746767609969672,4.3326568307755454e-05,0.2010580804049894
48,Sonoma,496668.0,5347.0,1186.0,1237.0,2012.0,6447.0,7702.0,7193.0,8532.0,3,77349,284678,6,83370,9179,323642,3,48117,172380,3,64205,6534,155390,0,27723,100890,3,15731,2645,160619,0,1501,11390,0,3430,0,7610,2,11841,113253,4,32522,9101,190342,2,12624,124516,4,35893,9109,197966,1,9482,170122,2,36655,26,132475,5.984237518376596e-06,0.0625372768128748,0.1605251766846127,3.989491678917732e-06,0.0660340662694462,0.0181242606973232,0.1489376981031961,1.1968475036753192e-05,0.7582308200200671,0.6614517361270413,7.978983357835461e-06,0.7330491485427384,0.0181821083266675,0.4130739631809813,5.984237518376596e-06,0.6956935432071922,0.6036619544120786,3.989491678917732e-06,0.6767793631574432,5.784762934430709e-05,0.2643118027116575
49,Stanislaus,562303.0,6925.0,3213.0,3748.0,4072.0,12451.0,16293.0,13213.0,16039.0,5,55207,225524,13,110403,5129,220624,4,34987,137395,11,79620,4437,108850,1,19201,79472,2,27945,691,104476,0,1016,8553,0,2810,0,7179,4,14218,93076,10,54378,5031,134254,4,15104,101584,10,57152,5039,141427,1,16125,129875,3,49515,41,81361,1.8542520781530167e-05,0.0820821767435995,0.1200646763124859,1.4834016625224134e-05,0.0890244965242044,0.0092860944073903,0.1218317785429658,2.595952909414224e-05,0.5939540256739743,0.4599731875149499,1.8542520781530167e-05,0.5659474022855511,0.0093695357509071,0.2716108444078539,7.417008312612067e-06,0.5134813397342115,0.3917682333242475,5.56275623445905e-06,0.4835815249739941,8.344134351688574e-05,0.1509472446741244
50,Sutter,105747.0,2268.0,441.0,212.0,528.0,1468.0,3328.0,2821.0,2337.0,2,10602,36676,1,20215,996,42453,1,5266,16177,0,12730,681,14504,1,5074,17755,1,6707,315,26958,0,262,2740,0,775,0,991,1,2219,14475,1,9573,990,25347,1,2403,17197,1,10344,990,26335,1,2978,21939,0,9665,3,16941,1.0430574098798398e-05,0.0657334779706275,0.1047125333778371,1.0430574098798398e-05,0.0793558077436582,0.0103054072096128,0.1155498998664886,2.0861148197596795e-05,0.5973694092122831,0.4644108811748998,1.0430574098798398e-05,0.5723047396528705,0.010347129506008001,0.2850362983978638,1.0430574098798398e-05,0.537456191588785,0.4055824432576769,0.0,0.5063939419225634,4.172229639519359e-05,0.1767460781041388
51,Tehama,65885.0,1269.0,652.0,102.0,344.0,543.0,2361.0,1353.0,1499.0,3,6027,17593,24,9176,409,20489,3,2160,8914,6,4873,345,4360,0,3628,7709,18,3846,64,15649,0,235,967,0,456,0,475,2,1316,6436,13,4557,406,12660,2,1475,7400,13,5011,406,13133,1,1613,11107,11,4273,1,7786,6.311836270967131e-05,0.0438199233111893,0.0987486784592807,0.0001735754974515,0.0482224291101888,0.0064380729963864,0.0908115443485396,0.0002366938601612,0.4329919681883452,0.3306455430546132,0.0002051346788064,0.4097170719391539,0.0066432076751929,0.2138765720417212,0.000189355088129,0.3912076120745428,0.2983289413472614,0.0001735754974515,0.3657551323118678,0.0002051346788064,0.1230650276931816
52,Trinity,13354.0,193.0,48.0,5.0,15.0,26.0,260.0,100.0,48.0,0,1676,3859,2,1553,104,5053,0,426,954,0,920,97,413,0,1176,2557,2,452,6,4456,0,73,346,0,181,0,183,0,263,1459,1,707,103,2985,0,298,1803,1,887,103,3166,0,284,2388,1,778,0,2064,0.0,0.0577670657751516,0.1017726636603949,7.774840615767377e-05,0.0577670657751516,0.0080080858342403,0.13535997512050998,7.774840615767377e-05,0.4865495257347224,0.39441766443787896,7.774840615767377e-05,0.4633805006997356,0.008085834240398,0.2542372881355932,7.774840615767377e-05,0.4287824599595708,0.3462136526201212,7.774840615767377e-05,0.4067019126107914,7.774840615767377e-05,0.1605504587155963
53,Tulare,484423.0,6325.0,3459.0,4271.0,1148.0,10995.0,12571.0,13182.0,12631.0,4,53524,151223,1,89484,3847,184239,1,35275,94458,1,65164,3554,96620,3,17314,50388,0,22330,292,83809,0,924,6364,0,1976,0,3791,3,13450,56241,1,44705,3846,116240,3,14088,62559,1,46634,3852,120013,1,15320,94326,0,40323,8,67606,6.5149833759340866e-06,0.0664984353181592,0.1191612176069597,2.1716611253113615e-06,0.0744923199204303,0.0083543803490728,0.1328035927961657,8.686644501245446e-06,0.5367260471207029,0.4048584402695466,2.1716611253113615e-06,0.5061316851873167,0.0083739252992006,0.2690014919311931,2.1716611253113615e-06,0.4725187142897473,0.3516809742940472,0.0,0.4392488658499773,1.9544950127802262e-05,0.1468368669879277
54,Tuolumne,52351.0,992.0,538.0,48.0,161.0,182.0,2158.0,1796.0,948.0,2,6063,16268,1,7808,952,29190,1,2127,4266,0,3800,798,7121,1,3821,11382,1,3592,154,21813,0,115,619,0,416,0,254,2,1188,5421,1,3737,930,17013,2,1286,6046,1,4159,938,17304,0,956,10489,0,3209,16,11709,5.562560261069495e-05,0.0622450493213676,0.1130683082400059,1.8541867536898318e-05,0.0598346065415708,0.0171512274716309,0.138952755321516,5.562560261069495e-05,0.5513609730772083,0.450400504338797,1.8541867536898318e-05,0.5275161314247571,0.0174478973522213,0.3382963732107097,0.0,0.4891159237558407,0.4118890454646592,0.0,0.4713898983905659,0.0002966698805903,0.2174033968701327
55,Ventura,852747.0,8969.0,1886.0,3636.0,2010.0,9063.0,12343.0,23073.0,33938.0,14,113240,488602,21,146787,13230,444327,8,66808,274049,17,109538,11317,206388,4,43235,190542,4,31662,1903,228800,2,3167,23895,0,5548,2,8926,7,18624,196018,11,61805,13190,269751,9,20619,219793,12,67275,13200,278801,7,19418,290811,9,66529,30,173429,7.074537325258928e-06,0.0583366347840851,0.1475913558586601,1.2969985096308036e-05,0.065045654347539,0.0155345048767143,0.1482209896806082,2.476088063840625e-05,0.7071106174656178,0.6034757201878997,1.4149074650517856e-05,0.6827989699473654,0.015588742996207999,0.3443200897994604,1.8865432867357145e-05,0.6487739826815326,0.5474347727658612,1.0611805987888393e-05,0.6258784217178863,5.423811949365178e-05,0.2045425604165487
56,Yolo,223612.0,2572.0,737.0,570.0,866.0,2138.0,4161.0,3711.0,4163.0,13,31589,118292,50,32111,3907,122296,13,20175,59866,30,22998,2810,54894,0,10944,53360,20,7913,1096,65366,0,470,5053,0,1195,0,2030,3,6676,48366,29,13511,3900,72850,3,6972,53405,30,14684,3903,74893,9,4393,69630,21,14258,3,49233,4.651660410183415e-05,0.0760220860836275,0.1507928755169157,8.838154779348487e-05,0.0697330412090595,0.0181554305809458,0.1438619015057424,0.000153504793536,0.7158440205231257,0.6151076626801937,0.0001395498123055,0.6834126441433269,0.0183089353744819,0.3666857384743484,0.0001395498123055,0.6398219344394982,0.5530638161291673,9.768486861385173e-05,0.6193871902575624,0.000153504793536,0.2291687017680961
57,Yuba,79290.0,1197.0,438.0,86.0,500.0,1006.0,2979.0,1784.0,1622.0,0,7030,25384,2,15180,511,22534,0,3381,10127,0,8855,344,6671,0,3379,12913,2,5432,167,15200,0,266,2336,0,889,0,657,0,1718,10030,1,7334,510,13742,0,1923,12353,1,8215,511,14398,0,2365,15258,1,7303,1,8729,0.0,0.054720305193859,0.0822460360563231,1.3246261242764227e-05,0.066350522565006,0.0067555932338097,0.0844051766388936,1.3246261242764227e-05,0.4954234167406249,0.3611328202614812,1.3246261242764227e-05,0.4699508563707893,0.0067820857562952,0.1975017551296146,1.3246261242764227e-05,0.4458294146477157,0.3177645609526711,1.3246261242764227e-05,0.4145020068085783,2.6492522485528448e-05,0.1156531069105745
