,county,population,fall_2020_cases,fall_2021_cases,spring_2020_cases,spring_2021_cases,summer_2020_cases,summer_2021_cases,winter_2020_cases,winter_2021_cases,fall_2020_doses_administered,fall_2021_doses_administered,spring_2021_doses_administered,summer_2020_doses_administered,summer_2021_doses_administered,winter_2020_doses_administered,winter_2021_doses_administered,fall_2020_pfizer_doses,fall_2021_pfizer_doses,spring_2021_pfizer_doses,summer_2020_pfizer_doses,summer_2021_pfizer_doses,winter_2020_pfizer_doses,winter_2021_pfizer_doses,fall_2020_moderna_doses,fall_2021_moderna_doses,spring_2021_moderna_doses,summer_2020_moderna_doses,summer_2021_moderna_doses,winter_2020_moderna_doses,winter_2021_moderna_doses,fall_2020_jj_doses,fall_2021_jj_doses,spring_2021_jj_doses,summer_2020_jj_doses,summer_2021_jj_doses,winter_2020_jj_doses,winter_2021_jj_doses,fall_2020_partially_vaccinated,fall_2021_partially_vaccinated,spring_2021_partially_vaccinated,summer_2020_partially_vaccinated,summer_2021_partially_vaccinated,winter_2020_partially_vaccinated,winter_2021_partially_vaccinated,fall_2020_at_least_one_dose,fall_2021_at_least_one_dose,spring_2021_at_least_one_dose,summer_2020_at_least_one_dose,summer_2021_at_least_one_dose,winter_2020_at_least_one_dose,winter_2021_at_least_one_dose,fall_2020_fully_vaccinated,fall_2021_fully_vaccinated,spring_2021_fully_vaccinated,summer_2020_fully_vaccinated,summer_2021_fully_vaccinated,winter_2020_fully_vaccinated,winter_2021_fully_vaccinated,fall_2020_partially_vaccinated_percent,fall_2021_partially_vaccinated_percent,spring_2021_partially_vaccinated_percent,summer_2020_partially_vaccinated_percent,summer_2021_partially_vaccinated_percent,winter_2020_partially_vaccinated_percent,winter_2021_partially_vaccinated_percent,fall_2020_at_least_one_dose_percent,fall_2021_at_least_one_dose_percent,spring_2021_at_least_one_dose_percent,summer_2020_at_least_one_dose_percent,summer_2021_at_least_one_dose_percent,winter_2020_at_least_one_dose_percent,winter_2021_at_least_one_dose_percent,fall_2020_fully_vaccinated_percent,fall_2021_fully_vaccinated_percent,spring_2021_fully_vaccinated_percent,summer_2020_fully_vaccinated_percent,summer_2021_fully_vaccinated_percent,winter_2020_fully_vaccinated_percent,winter_2021_fully_vaccinated_percent
36,San Diego,3370418.0,41281.0,10531.0,12863.0,12113.0,31169.0,69251.0,86171.0,93936.0,244,432564,2048980,494,622185,54000,1765572,82,270076,1183369,174,455003,39470,828179,99,150048,750209,320,140044,14405,909829,63,12436,115388,0,27124,124,27554,64,131134,866266,282,275179,53170,1027345,126,145584,1009891,285,313478,53334,1082254,176,78354,1164618,201,288801,705,719150,2.4524400719019088e-05,0.1068618970441436,0.1665960707065722,5.298481636825114e-05,0.0899131139842674,0.0159447964822926,0.1258819322684495,0.0001244386258705,0.7887023049606202,0.6497119291226653,8.628955808543756e-05,0.7446237820683032,0.016272394032638002,0.3439468480543824,0.0001141444329761,0.6818404079164766,0.5706767493239895,6.085684622867701e-05,0.6581171376209454,0.0003275975503454,0.2180649157859328
37,San Francisco,892280.0,5160.0,1293.0,2133.0,1885.0,7376.0,11936.0,8361.0,10219.0,19,158265,630999,36,116186,13606,581518,11,112026,412888,27,89714,9902,358782,6,43930,181458,9,20824,3694,209010,2,2304,36522,0,5601,9,13646,7,23339,245869,22,40097,13557,348382,9,24746,282289,23,45365,13584,362090,12,12289,383141,13,46416,43,232149,1.1493671584425615e-05,0.0621152493437113,0.1917144420282192,1.8389874535080986e-05,0.051855998087453,0.0155716262625798,0.1769393272064401,3.677974907016197e-05,0.8368611242649797,0.7562778434194133,2.6435444644178915e-05,0.80841888456216,0.0156497832293539,0.4318241376298211,2.873417896106404e-05,0.7747458749212683,0.7072722758848978,1.4941773059753302e-05,0.7606213019111677,7.815696677409419e-05,0.2669025934320563
38,San Joaquin,782545.0,8156.0,3135.0,4996.0,4334.0,14885.0,19693.0,20464.0,20367.0,4,78188,362867,15,149114,8602,302810,3,49872,214798,10,108997,7323,151948,1,27022,131023,5,36855,1279,145225,0,1294,17031,0,3258,0,5616,4,19981,157095,7,72054,8030,181547,4,20976,174045,8,75379,8043,187224,0,19207,201701,8,68001,91,114769,5.4628987233205685e-06,0.0845410891927474,0.119375262902001,5.4628987233205685e-06,0.08951369275565,0.0108657055606846,0.1117135474425439,1.6388696169961705e-05,0.6359893036442997,0.5043949020229114,1.0925797446641137e-05,0.6073418627392067,0.0110009123040867,0.2666973499478293,1.0925797446641137e-05,0.5514482144515522,0.4323460964857172,1.0925797446641137e-05,0.5252167405068477,0.0001352067434021,0.1568780626375967
39,San Luis Obispo,278862.0,3042.0,899.0,592.0,983.0,2922.0,6363.0,5461.0,8054.0,6,39918,140696,0,42965,5934,145328,2,22043,75484,0,28006,3705,69197,4,16967,58922,0,12923,2228,71512,0,903,6258,0,2028,0,4531,5,5320,55454,0,16686,5921,86989,5,5793,61671,0,18675,5925,91550,1,5195,84498,0,18278,10,57945,1.421186335293386e-05,0.0628590716100264,0.1561919312145813,0.0,0.06703735943578899,0.0210300047965038,0.1404274217903394,1.7764829191167326e-05,0.6523920342505907,0.5654580661206943,0.0,0.6318097031497042,0.0210690874207244,0.3463431099109982,3.552965838233465e-06,0.5895329626405642,0.5061341955197101,0.0,0.5710753051109414,3.908262422056812e-05,0.2059156881206587
40,San Mateo,778001.0,5417.0,1052.0,2182.0,2012.0,6696.0,8141.0,11643.0,13265.0,17,144704,549070,36,109239,12962,479298,5,93695,361620,31,86264,10295,263419,2,48036,158346,5,18278,2646,207941,10,2965,28908,0,4639,19,7802,4,21599,228740,21,39449,12874,280526,14,23283,257672,21,44011,12909,288405,13,13477,318053,14,46173,53,197516,1.0444750533661474e-05,0.0666061741531592,0.18253637710771803,2.0889501067322948e-05,0.0594201857860001,0.0167951588581276,0.1448308276812001,4.569578358476895e-05,0.8177129913112732,0.7298543610097462,2.741747015086137e-05,0.7873148504768681,0.0168996063634642,0.3934393910710438,3.525103305110747e-05,0.7511068171581139,0.6732281459915006,1.827831343390757e-05,0.7335113292903445,0.0001044475053366,0.2579801158061715
41,Santa Barbara,456373.0,2914.0,1216.0,3193.0,1203.0,5465.0,7353.0,7101.0,13687.0,3,58395,261279,5,73814,5413,213064,0,37466,167272,4,53592,4241,104222,1,19409,81362,1,17291,1170,100481,2,1507,12544,0,2903,0,8183,0,10460,105912,4,31539,5398,132025,3,11429,118419,4,34407,5401,140218,4,11253,154462,1,32802,12,80418,6.760746206094588e-06,0.0697010398027665,0.1948785093906764,9.014328274792785e-06,0.0768088376474406,0.0121490609323519,0.146913268640504,1.577507448088737e-05,0.6983422650302656,0.5950470773294151,9.014328274792785e-06,0.6725860755671139,0.0121873718275198,0.3281801423362435,1.1267910343490981e-05,0.6286412252274991,0.5293596671910001,2.253582068698196e-06,0.6032816662084383,3.831089516786933e-05,0.1812668736957393
42,Santa Clara,1967585.0,17521.0,3329.0,3221.0,5212.0,16579.0,20675.0,36603.0,37164.0,56,332557,1617332,125,278515,29440,995755,33,214504,1148874,118,213174,25068,516768,2,111235,396505,7,54517,4342,454066,21,6800,71709,0,10742,27,24791,21,59817,698437,71,104754,29263,587723,42,62904,770175,72,115352,29337,612592,35,31360,912398,55,126255,123,405458,1.2485693476225161e-05,0.0597180314223285,0.2332057018000208,2.0809489127041933e-05,0.0494464675892206,0.0152106960774112,0.1229695140984288,5.9307044012069495e-05,0.8274237852460722,0.7346883779003226,3.745708042867548e-05,0.7946987826448859,0.0153215066070127,0.3340146706898346,4.682135053584435e-05,0.7677057538237436,0.6857085631047758,2.861304754968265e-05,0.7513911143481428,0.0001108105296014,0.2110451565914056
43,Santa Cruz,273999.0,2715.0,527.0,341.0,495.0,2032.0,3044.0,5050.0,5478.0,2,33724,167591,5,39168,4420,162708,0,17767,94628,4,27837,3044,60958,1,15424,66755,1,9803,1373,99157,1,532,6194,0,1523,3,2576,1,4969,68850,3,15515,4401,96432,2,5291,75015,3,16991,4410,99028,1,4305,97945,2,17659,15,65907,7.3055357697295124e-06,0.05444815809179401,0.1634211824009643,1.095830365459427e-05,0.0581630230307015,0.0160612203897503,0.1370445455043559,1.826383942432378e-05,0.7332566252077511,0.6518656511971946,1.095830365459427e-05,0.7139298303289318,0.0161269702116779,0.3778532683140649,1.095830365459427e-05,0.6788084671159571,0.5985790732927876,7.3055357697295124e-06,0.6630833013716143,6.574982192756561e-05,0.24080872280970897
44,Shasta,177925.0,4629.0,1488.0,177.0,1277.0,1125.0,6327.0,2659.0,2668.0,57,20259,46986,300,26720,1714,71016,32,9490,21939,110,16345,1585,29021,25,9943,21857,190,8636,129,39195,0,823,3174,0,1732,0,2778,18,3501,18356,165,12260,1710,41821,18,3998,21496,165,13961,1713,44603,39,5188,28451,135,12395,4,29088,0.0001675182176061,0.065644805539269,0.1073959293073121,0.0007929195633358,0.0742384901024653,0.0095932099282463,0.0962280481335678,0.0010218611273976,0.4799620292040092,0.3796800402043722,0.0009213501968339,0.4576374347376944,0.0105871513527096,0.2596476533489684,0.0009716056621157,0.4204707261914733,0.3222882988525002,0.0007538319792277,0.3915012424267806,0.0009939414244632,0.1634196052154005
45,Sierra,3115.0,13.0,39.0,1.0,8.0,5.0,71.0,15.0,19.0,0,322,648,0,313,85,1955,0,83,79,0,213,31,68,0,233,535,0,77,54,1883,0,6,33,0,20,0,4,0,45,156,0,152,85,1104,0,51,190,0,172,85,1108,0,59,479,0,143,0,847,0.0,0.0300341296928327,0.1044368600682593,0.0,0.0361774744027303,0.0290102389078498,0.1597269624573379,0.0,0.548122866894198,0.4720136518771331,0.0,0.5307167235494881,0.0290102389078498,0.4071672354948805,0.0,0.5215017064846417,0.4525597269624573,0.0,0.5013651877133106,0.0,0.2890784982935153
46,Siskiyou,43956.0,567.0,129.0,29.0,397.0,128.0,1118.0,328.0,495.0,4,4721,12420,9,5819,581,19880,2,2001,6420,6,3396,456,6318,1,2606,5490,3,2193,124,13106,1,114,490,0,230,0,442,1,766,4579,5,2681,580,11898,2,834,5067,5,2911,580,12344,3,929,7757,4,2543,0,7939,4.593477262287552e-05,0.0610932475884244,0.1051906293063849,9.186954524575104e-05,0.0678456591639871,0.0133210840606339,0.119728984841525,0.00016077170418000002,0.4993798805695912,0.4133670188332567,0.0001148369315571,0.4802250803858521,0.0134818557648139,0.2969912723932016,0.00016077170418000002,0.44039963252181896,0.3606568672485071,9.186954524575104e-05,0.4190629306384933,0.00016077170418000002,0.1824988516306844
